ppd_id,PlanName,StateAbbrev,planf,ActAssets_AVA_2014,ActAssets_AVA_2015,ActAssets_AVA_2016,ActAssets_GASB_2014,ActAssets_GASB_2015,ActAssets_GASB_2016,ActAssets_Smooth_2014,ActAssets_Smooth_2015,ActAssets_Smooth_2016,actives_tot_2014,actives_tot_2015,actives_tot_2016,ActiveSalaries_2014,ActiveSalaries_2015,ActiveSalaries_2016,ActLiabilities_GASB_2014,ActLiabilities_GASB_2015,ActLiabilities_GASB_2016,beneficiaries_tot_2014,beneficiaries_tot_2015,beneficiaries_tot_2016,BeneficiaryBenefit_avg_2014,BeneficiaryBenefit_avg_2015,BeneficiaryBenefit_avg_2016,benefits_tot_2014,benefits_tot_2015,benefits_tot_2016,contrib_EE_regular_2014,contrib_EE_regular_2015,contrib_EE_regular_2016,CoveredPayroll_GASB67_2014,CoveredPayroll_GASB67_2015,CoveredPayroll_GASB67_2016,expense_TotBenefits_2014,expense_TotBenefits_2015,expense_TotBenefits_2016,InflationAssumption_GASB_2014,InflationAssumption_GASB_2015,InflationAssumption_GASB_2016,InvestmentReturnAssumption_GASB_2014,InvestmentReturnAssumption_GASB_2015,InvestmentReturnAssumption_GASB_2016,MktAssets_net_2014,MktAssets_net_2015,MktAssets_net_2016,NetPosition_2014,NetPosition_2015,NetPosition_2016,payroll_2014,payroll_2015,payroll_2016,TotalPensionLiability_2014,TotalPensionLiability_2015,TotalPensionLiability_2016,UAAL_GASB_2014,UAAL_GASB_2015,UAAL_GASB_2016,al,al_source,payroll,payroll_source,assets.mv,assets.mv_source,assets.av,assets.av_source,uaal,uaal_source,actives,actives_source,beneficiaries,beneficiaries_source,benefits,benefits_source,avgbenefit.ppd,avgbenefit.ppd_source,discount,discount_source,infl.ppd,infl.ppd_source,eec,eec_source,avgsalary,avgbenefit,avgbenefit_best,eecRate.ppd_calc,AssetSmoothingPeriod_GASB_2014,AssetSmoothingPeriod_GASB_2015,AssetSmoothingPeriod_GASB_2016,openclosedf_2014,openclosedf_2015,openclosedf_2016,pctdollf_2014,pctdollf_2015,pctdollf_2016,UAALAmortPeriod_GASB_2014,UAALAmortPeriod_GASB_2015,UAALAmortPeriod_GASB_2016,assetperiod,assetperiod_source,openclosedf,openclosedf_source,pctdollf,pctdollf_source,amortperiod,amortperiod_source
43,LA County ERS,CA,General-Local,NA,NA,NA,43654462,47328270,49357847,44153576,47838345,49858205,92466,93674,95444,6.74E+06,7.01E+06,7292272.5,54942453,56819215,62199214,59229,60606,61914,45.79199982,46.33200073,47.68471527,2.71E+06,2.81E+06,2952351.5,439001,441258,458665,6672228,7592760,7279091,2638873,2742999,2862094,0.03,0.0325,0.03,0.0763,0.0763,0.0763,47722277,48818350,47846694,47722277,48818350,47846694,6672228,7592760,7279091,54977021,56570520,58528457,11287991,9490945,12841367,62199214,ActLiabilities_GASB_2016,7279091,payroll_2016,47846694,MktAssets_net_2016,49357847,ActAssets_GASB_2016,12841367,UAAL_GASB_2016,95444,actives_tot_2016,61914,beneficiaries_tot_2016,2952351.5,benefits_tot_2016,47684.71527,BeneficiaryBenefit_avg_2016,0.0763,InvestmentReturnAssumption_GASB_2016,0.03,InflationAssumption_GASB_2016,4.59E+08,contrib_EE_regular_2016,76265.56934,47684.7159,47684.7159,0.063011302,5,5,5,closed,closed,closed,levpercent,levpercent,levpercent,30,30,30,5,AssetSmoothingPeriod_GASB_2016,closed,openclosedf_2016,levpercent,pctdollf_2016,30,UAALAmortPeriod_GASB_2016
44,Louisiana SERS,LA,General-State,NA,NA,NA,10606475,11318400,11630800,10723568.03,11442012.7,11640531.34,40321,40194,39284,1813759.375,1856735.25,1842286.125,17877745,18216700,18576300,48778,49325,49810,22.02548218,23.7256794,24.45008278,1074359,1170269.125,1217858.625,152993.052,153281.097,152233.771,1813759.357,1856735.292,1842286.184,1167477.166,1199079.252,1238507.932,0.03,0.03,0.03,0.0775,0.0775,0.0775,11624853.43,11415150.93,10723714.83,11624853.43,11415150.93,10723714.83,1813759,1856700,1842300,17877744.95,18216660.46,18576266.62,7271270,6898300,6945500,18576300,ActLiabilities_GASB_2016,1842300,payroll_2016,10723714.83,MktAssets_net_2016,11630800,ActAssets_GASB_2016,6945500,UAAL_GASB_2016,39284,actives_tot_2016,49810,beneficiaries_tot_2016,1217858.625,benefits_tot_2016,24450.08278,BeneficiaryBenefit_avg_2016,0.0775,InvestmentReturnAssumption_GASB_2016,0.03,InflationAssumption_GASB_2016,152233771,contrib_EE_regular_2016,46896.9555,24450.08281,24450.08281,0.082632455,5,5,5,open,open,open,NA,NA,NA,30,30,30,5,AssetSmoothingPeriod_GASB_2016,open,openclosedf_2016,NA,pctdollf_2014,30,UAALAmortPeriod_GASB_2016
45,Louisiana Teachers,LA,Teachers,NA,NA,NA,16145773,17457243.7,18254300,16365854.03,17685960.35,18281834.42,82886,83602,84068,3764954.75,3815649.75,3869730,28119537,28646296.9,29272400,75486,77542,78334,24.86704636,25.26290131,25.568964,NA,NA,NA,326007.091,324920.644,330773.315,3764954.727,3815648.662,3869730.024,1877113.903,1958935.967,2002919.258,0.025,0.025,0.025,0.0775,0.0775,0.0775,17900035.46,17896379.68,17537950.96,17898102.4,17894019.59,17535415.15,3764955,3815649.662,3869700,28119536.56,28646296.9,29272401.98,11973764,11189053.2,11018100,29272400,ActLiabilities_GASB_2016,3869700,payroll_2016,17537950.96,MktAssets_net_2016,18254300,ActAssets_GASB_2016,11018100,UAAL_GASB_2016,84068,actives_tot_2016,78334,beneficiaries_tot_2016,2002919.258,expense_TotBenefits_2016,25568.964,BeneficiaryBenefit_avg_2016,0.0775,InvestmentReturnAssumption_GASB_2016,0.025,InflationAssumption_GASB_2016,330773315,contrib_EE_regular_2016,46030.59428,25568.96441,25568.96441,0.085477767,5,5,5,closed,closed,closed,levdollar,levdollar,levdollar,30,30,30,5,AssetSmoothingPeriod_GASB_2016,closed,openclosedf_2016,levdollar,pctdollf_2016,30,UAALAmortPeriod_GASB_2016
46,Maine Local,ME,General-Local,NA,NA,NA,2415219.122,2433186.149,2489157.281,12498925.85,12912976.27,13112869.07,10848,10870,11019,460029.625,490974.0938,505798.125,2649404.619,2720936.009,2889740.634,8333,8581,8847,14.77799988,15.22518635,15.33056068,123149.1563,130647.3203,135629.4688,33210.51,37202.921,40861.405,460029.637,497616.846,521870.235,121559.257,129476.01,134834.445,0.035,0.035,0.035,0.0725,0.0725,0.06875,2455776.671,2401889.308,2358409.925,2455776.671,2401889.308,2358409.925,460029.637,490974.092,521870.235,2609657.845,2720936.009,2889740.634,234185.497,287749.86,400583.353,2889740.634,ActLiabilities_GASB_2016,521870.235,payroll_2016,2358409.925,MktAssets_net_2016,2489157.281,ActAssets_GASB_2016,400583.353,UAAL_GASB_2016,11019,actives_tot_2016,8847,beneficiaries_tot_2016,135629.4688,benefits_tot_2016,15330.56068,BeneficiaryBenefit_avg_2016,0.06875,InvestmentReturnAssumption_GASB_2016,0.035,InflationAssumption_GASB_2016,40861405,contrib_EE_regular_2016,47360.94337,15330.5605,15330.5605,0.078298018,3,3,3,open,open,open,levdollar,levdollar,levdollar,15,15,15,3,AssetSmoothingPeriod_GASB_2016,open,openclosedf_2016,levdollar,pctdollf_2016,15,UAALAmortPeriod_GASB_2016
47,Maine State and Teacher,ME,Teachers,NA,NA,NA,10083707,10375552.5,10512524.18,12498925.85,12912976.27,13112869.07,39669,40016,39942,1702310.375,1745075.125,1792004.375,12382225,12616287.05,13069954.95,32391,33260,34181,20.33300018,20.8012104,21.30223846,658595.25,691848.25,728131.8125,121700.845,123528.807,125523.987,1686134.478,1699160.889,1816435.084,671034.883,703292.105,727717.178,0.035,0.035,0.035,0.07125,0.07125,0.06875,10405949.4,10242105.59,9960346.107,10337615.93,10242105.59,9960335.39,1711516,1745075.075,1816435.084,12320158.78,12616287.05,13069954.95,2298518,2240734.556,2557430.77,13069954.95,ActLiabilities_GASB_2016,1816435.084,payroll_2016,9960346.107,MktAssets_net_2016,10512524.18,ActAssets_GASB_2016,2557430.77,UAAL_GASB_2016,39942,actives_tot_2016,34181,beneficiaries_tot_2016,728131.8125,benefits_tot_2016,21302.23846,BeneficiaryBenefit_avg_2016,0.06875,InvestmentReturnAssumption_GASB_2016,0.035,InflationAssumption_GASB_2016,125523987,contrib_EE_regular_2016,45476.81849,21302.23845,21302.23845,0.069104582,3,3,3,closed,closed,closed,levpercent,levpercent,levpercent,18,NA,NA,3,AssetSmoothingPeriod_GASB_2016,closed,openclosedf_2016,levpercent,pctdollf_2016,18,UAALAmortPeriod_GASB_2014
48,Maryland PERS,MD,General-S&L,NA,NA,NA,14547390,15615327,16130438,42996956.53,46170624.07,47803679.3,84825,83794,82625,4.22E+06,4300747.5,4245333.5,22059765,23402850,23817251,69459,72031,74211,15.83668041,16.33542442,16.53082466,1.10E+06,1176657,1226769,267139,280133,278944,4219732,4305637,4250288,1090306,1147453,1226291,0.035,0.029,0.029,0.0765,0.0755,0.0755,15365014,15510791,15331453,15365014,15511326,15331453,4214981,4300748,4250288,22097648,23408479,24346805,7512375,7787524,7686814,23817251,ActLiabilities_GASB_2016,4250288,payroll_2016,15331453,MktAssets_net_2016,16130438,ActAssets_GASB_2016,7686814,UAAL_GASB_2016,82625,actives_tot_2016,74211,beneficiaries_tot_2016,1226769,benefits_tot_2016,16530.82466,BeneficiaryBenefit_avg_2016,0.0755,InvestmentReturnAssumption_GASB_2016,0.029,InflationAssumption_GASB_2016,2.79E+08,contrib_EE_regular_2016,51440.70197,16530.82427,16530.82427,0.065629435,5,5,5,closed,closed,closed,levpercent,levpercent,levpercent,25,25,25,5,AssetSmoothingPeriod_GASB_2016,closed,openclosedf_2016,levpercent,pctdollf_2016,25,UAALAmortPeriod_GASB_2016
49,Maryland Teachers,MD,Teachers,NA,NA,NA,26067577,27995476,29020809,42996956.53,46170624.07,47803679.3,104470,105526,105547,6.31E+06,6470706.5,6611038,36882587,38934459,39934125,68929,71176,73582,26.85371971,27.28231239,27.34696579,1.85E+06,1941845.875,2012244.5,441559,454770,464470,6310253,6470706,6611038,1842127,1933457,2028004,0.035,0.029,0.029,0.0765,0.0755,0.0755,27491055,27763928,27542213,27491055,27763619,27542213,6310253,6470706,6611038,37324936,39239039,40533421,10815010,10938983,10913316,39934125,ActLiabilities_GASB_2016,6611038,payroll_2016,27542213,MktAssets_net_2016,29020809,ActAssets_GASB_2016,10913316,UAAL_GASB_2016,105547,actives_tot_2016,73582,beneficiaries_tot_2016,2012244.5,benefits_tot_2016,27346.96579,BeneficiaryBenefit_avg_2016,0.0755,InvestmentReturnAssumption_GASB_2016,0.029,InflationAssumption_GASB_2016,4.64E+08,contrib_EE_regular_2016,62635.96313,27346.96665,27346.96665,0.070256743,5,5,5,closed,closed,closed,levpercent,levpercent,levpercent,25,25,25,5,AssetSmoothingPeriod_GASB_2016,closed,openclosedf_2016,levpercent,pctdollf_2016,25,UAALAmortPeriod_GASB_2016
50,Massachusetts SRS,MA,General-State,NA,NA,NA,21581133,22720160,23465963,21581133,22720160,23465963,88156,88508,88081,5344510.5,5591911,5792288,30679600,33679150,36966278,56327,57774,61377,29.62899971,30.81900024,32.63600159,1668889.5,1780541.625,2003072.125,501106,549493,571273,NA,5591911,5559624,1825015,1876451,775476,0.035,0.035,0.035,0.08,0.0775,0.075,23930895,24042585,15210068,NA,24042585,23971156,5344510.322,5591911.233,5792288.086,NA,34492414,3.78E+07,9098467,10958990,13500315,36966278,ActLiabilities_GASB_2016,5792288.086,payroll_2016,15210068,MktAssets_net_2016,23465963,ActAssets_GASB_2016,13500315,UAAL_GASB_2016,88081,actives_tot_2016,61377,beneficiaries_tot_2016,2003072.125,benefits_tot_2016,32636.00159,BeneficiaryBenefit_avg_2016,0.075,InvestmentReturnAssumption_GASB_2016,0.035,InflationAssumption_GASB_2016,5.71E+08,contrib_EE_regular_2016,65760.92558,32635.54955,32635.54955,0.098626483,5,5,5,closed,closed,closed,levpercent,levpercent,levpercent,26,NA,NA,5,AssetSmoothingPeriod_GASB_2016,closed,openclosedf_2016,levpercent,pctdollf_2016,26,UAALAmortPeriod_GASB_2014
51,Massachusetts Teachers,MA,Teachers,NA,NA,NA,22940196,23946759,24593787,22940196,23946759,24593787,88788,90070,91059,5962650,6204274.5,6388732,40741695,44115769,46562807,61034,62312,63744,41.01200104,42.13800049,42.89199829,2503106.75,2625686.5,2734293.25,0,0,0,NA,6204274,6388732,2551737,2684049,2791011,0.035,0.035,0.035,0.08,0.0775,0.075,25538646,25429068,24942072,NA,25429068,24942072,5962649.921,6204274.389,6388732.216,NA,44728711,4.73E+07,17801499,20169010,21969020,46562807,ActLiabilities_GASB_2016,6388732.216,payroll_2016,24942072,MktAssets_net_2016,24593787,ActAssets_GASB_2016,21969020,UAAL_GASB_2016,91059,actives_tot_2016,63744,beneficiaries_tot_2016,2734293.25,benefits_tot_2016,42891.99829,BeneficiaryBenefit_avg_2016,0.075,InvestmentReturnAssumption_GASB_2016,0.035,InflationAssumption_GASB_2016,0,contrib_EE_regular_2016,70160.35994,42894.91168,42894.91168,0,5,5,5,closed,closed,closed,levpercent,levpercent,levpercent,26,25,25,5,AssetSmoothingPeriod_GASB_2016,closed,openclosedf_2016,levpercent,pctdollf_2016,25,UAALAmortPeriod_GASB_2016
52,Michigan Municipal,MI,General-Local,NA,NA,NA,8539183.003,8892838.764,NA,8546363.754,8953772.507,NA,35302,35274,NA,1743799.125,1786825.375,NA,12095941.09,13368027.54,NA,35754,37467,NA,20.22400093,20.76799965,NA,723077.625,778114.3125,NA,102446,86553,NA,NA,NA,NA,707268,754978,NA,0.045,0.0375,NA,0.08,0.0775,NA,8077998,7886586,NA,NA,NA,NA,1.74E+06,1.79E+06,NA,NA,NA,NA,3556758.082,4475188.778,NA,13368027.54,ActLiabilities_GASB_2015,1.79E+06,payroll_2015,7886586,MktAssets_net_2015,8892838.764,ActAssets_GASB_2015,4475188.778,UAAL_GASB_2015,35274,actives_tot_2015,37467,beneficiaries_tot_2015,778114.3125,benefits_tot_2015,20767.99965,BeneficiaryBenefit_avg_2015,0.0775,InvestmentReturnAssumption_GASB_2015,0.0375,InflationAssumption_GASB_2015,8.66E+07,contrib_EE_regular_2015,50660.54318,20767.99083,20767.99083,0.048434807,10,10,NA,open,open,NA,levpercent,levpercent,NA,24,24,NA,10,AssetSmoothingPeriod_GASB_2015,open,openclosedf_2015,levpercent,pctdollf_2015,24,UAALAmortPeriod_GASB_2015
53,Michigan Public Schools,MI,Teachers,NA,NA,NA,39625615.49,41006352.97,NA,39625615.49,41006352.97,NA,199674,194957,NA,7943921.5,8005009,NA,66104591.28,67727577.58,NA,204512,207651,NA,21.66699982,22.00255203,NA,4431065,4568852,NA,405444,395722,398893,8895091,8426755,8510200,4388329,4530915,4671300,0.025,0.025,0.025,0.08,0.08,0.08,43773189,42382361,43460579,43773189,42382361,43460579,8.17E+06,8.26E+06,8510200,66174798,67355988,68970001,26478975.79,26721224.61,NA,67727577.58,ActLiabilities_GASB_2015,8510200,payroll_2016,43460579,MktAssets_net_2016,41006352.97,ActAssets_GASB_2015,26721224.61,UAAL_GASB_2015,194957,actives_tot_2015,207651,beneficiaries_tot_2015,4568852,benefits_tot_2015,22002.55203,BeneficiaryBenefit_avg_2015,0.08,InvestmentReturnAssumption_GASB_2016,0.025,InflationAssumption_GASB_2016,3.99E+08,contrib_EE_regular_2016,43651.67704,22002.55236,22002.55236,0.046872341,5,5,5,closed,closed,closed,levpercent,levpercent,levpercent,25,24,23,5,AssetSmoothingPeriod_GASB_2016,closed,openclosedf_2016,levpercent,pctdollf_2016,23,UAALAmortPeriod_GASB_2016
54,Michigan SERS,MI,General-State,NA,NA,NA,9961903.019,10416577.28,NA,9961903.019,10416577.28,NA,14985,13404,NA,1010986.938,922092928,NA,16172937.85,16237489.61,NA,57615,58453,NA,21.04199982,21.46299934,NA,1212333,1254602,NA,47527,46688,46666,1006633,946977,872358,1222881,1265335,1289598,0.035,0.035,NA,0.08,0.08,NA,10974806,10731918,10980343,10974806,10731762,10980343,1010987,922093,872358,16121945,16234303,16272175,6211034.832,5820912.332,NA,16237489.61,ActLiabilities_GASB_2015,872358,payroll_2016,10980343,MktAssets_net_2016,10416577.28,ActAssets_GASB_2015,5820912.332,UAAL_GASB_2015,13404,actives_tot_2015,58453,beneficiaries_tot_2015,1254602,benefits_tot_2015,21462.99934,BeneficiaryBenefit_avg_2015,0.08,InvestmentReturnAssumption_GASB_2015,0.035,InflationAssumption_GASB_2015,4.67E+07,contrib_EE_regular_2016,65081.91585,21463.43216,21463.43216,0.053494093,5,5,NA,closed,closed,NA,levdollar,levdollar,NA,22,NA,NA,5,AssetSmoothingPeriod_GASB_2015,closed,openclosedf_2015,levdollar,pctdollf_2015,22,UAALAmortPeriod_GASB_2014
55,Minneapolis ERF,MN,General-Local,NA,NA,NA,935946,17974439,18765863,935946,NA,NA,42,145650,148745,2851,5616092,5906821,1140920,23560951,24848409,3777,90592,94288,35.25,0.729567707,14.4151535,133139,NA,NA,2.40E+04,117,375291,3795,5549255,5773708,134466,66093,1359176,0.03,0.0275,0.0275,0.08,0.08,0.08,935946,0,17995149,935946,18581795,17994909,3795,5549255,5773708,1157169,23764314,26114413,204974,5586512,6082546,24848409,ActLiabilities_GASB_2016,5773708,payroll_2016,17995149,MktAssets_net_2016,18765863,ActAssets_GASB_2016,6082546,UAAL_GASB_2016,148745,actives_tot_2016,94288,beneficiaries_tot_2016,133139,benefits_tot_2014,14415.1535,BeneficiaryBenefit_avg_2016,0.08,InvestmentReturnAssumption_GASB_2016,0.0275,InflationAssumption_GASB_2016,3.75E+08,contrib_EE_regular_2016,38816.14844,1412.046072,1412.046072,0.064999997,NA,5,5,closed,closed,closed,levpercent,levpercent,levpercent,17,18,NA,5,AssetSmoothingPeriod_GASB_2016,closed,openclosedf_2016,levpercent,pctdollf_2016,18,UAALAmortPeriod_GASB_2015
56,Minnesota GERF,MN,General-S&L,NA,NA,NA,15644540,17974439,18765863,15644540,17974439,18765863,143343,145650,148745,5392643,5616092,5906821,21282504,23560951,24848409,83134,90592,94288,13.61200047,14.02947235,14.80978489,1148130,1270958,1396385,334495,353765,375291,5351920,5549255,5773708,1109866,1235303,1359176,0.03,0.0275,0.0275,0.0841,0.08,0.08,17404822,18581795,17995149,17404822,18581795,17994909,5351920,5549255,5773708,22102321,23764314,26114413,5637964,5586512,6082546,24848409,ActLiabilities_GASB_2016,5773708,payroll_2016,17995149,MktAssets_net_2016,18765863,ActAssets_GASB_2016,6082546,UAAL_GASB_2016,148745,actives_tot_2016,94288,beneficiaries_tot_2016,1396385,benefits_tot_2016,14809.78489,BeneficiaryBenefit_avg_2016,0.08,InvestmentReturnAssumption_GASB_2016,0.0275,InflationAssumption_GASB_2016,3.75E+08,contrib_EE_regular_2016,38816.14844,14809.78491,14809.78491,0.064999997,5,5,5,closed,closed,closed,levpercent,levpercent,levpercent,19,18,NA,5,AssetSmoothingPeriod_GASB_2016,closed,openclosedf_2016,levpercent,pctdollf_2016,18,UAALAmortPeriod_GASB_2015
57,Minnesota State Employees,MN,General-State,NA,NA,NA,10326272,11223285,11676370,10326272,11223285,11676370,49663,49037,49472,2653367,2727560,2889433,12445126,13092702,14316886,34729,36476,37952,17.9659996,18.25367355,18.63830566,623942,665821,707361,131033,149293,153854,2620660,2714418,2797345,623942,665821,707361,0.03,0.0275,0.0275,0.0841,0.08,0.08,11498604,11638319,11223065,11498604,11638319,11223065,2620660,2714418,2797345,13120176,13177712,23621950,2118854,1869417,2640516,14316886,ActLiabilities_GASB_2016,2797345,payroll_2016,11223065,MktAssets_net_2016,11676370,ActAssets_GASB_2016,2640516,UAAL_GASB_2016,49472,actives_tot_2016,37952,beneficiaries_tot_2016,707361,benefits_tot_2016,18638.30566,BeneficiaryBenefit_avg_2016,0.08,InvestmentReturnAssumption_GASB_2016,0.0275,InflationAssumption_GASB_2016,1.54E+08,contrib_EE_regular_2016,56544.00469,18638.30628,18638.30628,0.055000009,5,5,5,closed,closed,closed,levpercent,levpercent,levpercent,26,26,26,5,AssetSmoothingPeriod_GASB_2016,closed,openclosedf_2016,levpercent,pctdollf_2016,26,UAALAmortPeriod_GASB_2016
58,Minnesota Teachers,MN,Teachers,NA,NA,NA,18181932,19696893,20194279,18181932,19696893,20194279,77243,79406,80530,4353988,4672229,4858593,24528506,25562155,26716216,58809,61986,63503,26.76057816,26.32052422,27.06476784,1573762.875,NA,NA,294632.331,331904.841,354961.14,4056482,4306426,4515699,1581766.643,1631504.015,1718693.913,0.03,0.03,0.0275,0.0841,0.084,0.08,20293684.48,20214142.88,19424431.2,20293684,20446091,19424431,4056482,4306426,4515699,24901612,26632080,43276817,6346574,5865262,6521937,26716216,ActLiabilities_GASB_2016,4515699,payroll_2016,19424431.2,MktAssets_net_2016,20194279,ActAssets_GASB_2016,6521937,UAAL_GASB_2016,80530,actives_tot_2016,63503,beneficiaries_tot_2016,1573762.875,benefits_tot_2014,27064.76784,BeneficiaryBenefit_avg_2016,0.08,InvestmentReturnAssumption_GASB_2016,0.0275,InflationAssumption_GASB_2016,354961140,contrib_EE_regular_2016,56074.74233,24782.4965,24782.4965,0.078606023,5,5,5,closed,closed,closed,levpercent,levpercent,levpercent,23,23,NA,5,AssetSmoothingPeriod_GASB_2016,closed,openclosedf_2016,levpercent,pctdollf_2016,23,UAALAmortPeriod_GASB_2015
59,Mississippi PERS,MS,General-S&L,NA,NA,NA,22569940,24387161,25185078,22569940,24387161,25185078,161360,157215,154104,5834686.5,5904827,6022533,37015288,40364584,41997513,93504,96338,99483,21.37199974,21.96768379,22607.32813,1998323,2116322.75,2249044.736,549528,557909,572574,5834687,5904827,6022533,2099843,2219240,2367709,0.035,0.03,0.03,0.08,0.0775,0.0775,24877119,24906556,24135016,24877119,24906556,24135016,5834687,5904827,6022533,37015288,40364584,41997513,14445348,15977423,16812435,41997513,ActLiabilities_GASB_2016,6022533,payroll_2016,24135016,MktAssets_net_2016,25185078,ActAssets_GASB_2016,16812435,UAAL_GASB_2016,154104,actives_tot_2016,99483,beneficiaries_tot_2016,2249044.736,benefits_tot_2016,22607328.13,BeneficiaryBenefit_avg_2016,0.0775,InvestmentReturnAssumption_GASB_2016,0.03,InflationAssumption_GASB_2016,5.73E+08,contrib_EE_regular_2016,39080.9648,22607.32724,22607.32724,0.095071957,5,5,5,open,open,open,levpercent,levpercent,levpercent,29.2,30,30,5,AssetSmoothingPeriod_GASB_2016,open,openclosedf_2016,levpercent,pctdollf_2016,30,UAALAmortPeriod_GASB_2016
60,Missouri DOT and Highway Patrol,MO,Safety,NA,NA,NA,1795264.291,1967001.509,2086654.348,1795264.291,1967001.509,2086654.348,7390,7358,7441,332085.6875,334400.9688,339799.375,3650241.741,3715845.651,3761733.004,8401,8588,8684,25.84805679,25.96896935,26.16523552,217149.5313,223021.5156,227218.9063,1282.379,2086,2503.824,336590.797,342264.593,344154.131,231384.708,241714.876,238056.454,0.03,0.03,0.03,0.0775,0.0775,0.0775,1957456.213,2009367.134,1992073.946,1957456.213,2009367.134,1992073.946,336590.797,342264.593,344275.147,3650241.741,3715845.651,3761733.004,1854977.45,1748844.142,1675078.656,3761733.004,ActLiabilities_GASB_2016,344275.147,payroll_2016,1992073.946,MktAssets_net_2016,2086654.348,ActAssets_GASB_2016,1675078.656,UAAL_GASB_2016,7441,actives_tot_2016,8684,beneficiaries_tot_2016,227218.9063,benefits_tot_2016,26165.23552,BeneficiaryBenefit_avg_2016,0.0775,InvestmentReturnAssumption_GASB_2016,0.03,InflationAssumption_GASB_2016,2503824,contrib_EE_regular_2016,46267.32254,26165.23563,26165.23563,0.007272741,3,3,3,closed,closed,closed,levpercent,levpercent,levpercent,17,16,16,3,AssetSmoothingPeriod_GASB_2016,closed,openclosedf_2016,levpercent,pctdollf_2016,16,UAALAmortPeriod_GASB_2016
61,Missouri Local,MO,General-Local,NA,NA,NA,5388198.677,5972471.342,6320171.438,5387990.131,5972290.794,NA,33205,33104,33335,1456008.5,1462218.25,1507588.5,5873910.959,6324109.191,6671352.337,18502,19568,20649,10.78800011,11.18599987,11.30599976,199601.5156,218892.5625,233448.2813,32739.664,14773.926,18105.362,NA,NA,NA,229637.836,250978.528,262032.383,0.03,0.03,0.0325,0.0725,0.0725,0.0725,6309952.296,6381353.861,6302285.751,NA,NA,NA,1456008.487,1462218.216,1507588.47,NA,NA,NA,485712.282,351637.849,351180.899,6671352.337,ActLiabilities_GASB_2016,1507588.47,payroll_2016,6302285.751,MktAssets_net_2016,6320171.438,ActAssets_GASB_2016,351180.899,UAAL_GASB_2016,33335,actives_tot_2016,20649,beneficiaries_tot_2016,233448.2813,benefits_tot_2016,11305.99976,BeneficiaryBenefit_avg_2016,0.0725,InvestmentReturnAssumption_GASB_2016,0.0325,InflationAssumption_GASB_2016,18105362,contrib_EE_regular_2016,45225.39283,11305.549,11305.549,0.012009486,5,5,5,closed,closed,closed,levpercent,levpercent,levpercent,30,30,30,5,AssetSmoothingPeriod_GASB_2016,closed,openclosedf_2016,levpercent,pctdollf_2016,30,UAALAmortPeriod_GASB_2016
62,Missouri PEERS,MO,General-S&L,NA,NA,NA,3584719,3915199,4157427,3584719.233,3915199.113,NA,45589,46835,47851,1442701,1469772,NA,4211489,4512317,4809666,25029,26298,27583,7.704240799,8.006197929,8.36332798,192829.4375,210547,NA,106420.656,110443.66,114257.497,1467926.166,1510558.455,1554732.332,196744.702,215242.49,230685.686,0.025,0.025,0.0225,0.08,0.08,0.0775,3846322.886,3983410.821,4007330.675,3846322.886,3983410.821,4007330.675,1442701,1469772,1519081,4211488.832,4512316.979,4809665.957,626770,597118,652239,4809666,ActLiabilities_GASB_2016,1519081,payroll_2016,4007330.675,MktAssets_net_2016,4157427,ActAssets_GASB_2016,652239,UAAL_GASB_2016,47851,actives_tot_2016,27583,beneficiaries_tot_2016,210547,benefits_tot_2015,8363.32798,BeneficiaryBenefit_avg_2016,0.0775,InvestmentReturnAssumption_GASB_2016,0.0225,InflationAssumption_GASB_2016,114257497,contrib_EE_regular_2016,31746.06591,7633.216111,7633.216111,0.075214881,5,5,5,closed,closed,closed,levpercent,levpercent,levpercent,24.1,23.2,24.9,5,AssetSmoothingPeriod_GASB_2016,closed,openclosedf_2016,levpercent,pctdollf_2016,24.9,UAALAmortPeriod_GASB_2016
63,Missouri State Employees,MO,General-State,NA,NA,NA,8637758.955,8792485.658,8878057.191,8637758.955,8792485.658,8878057.191,50621,49980,49464,1902719.875,1.92E+06,1921.5,11494571.84,11727618.41,12751162.75,4.10E+04,44107,45884,15.09098816,14.75652409,14.83774281,618730.5,650866,680815,14025.328,18099.455,21684.92,1902719.928,1918527.768,1921528.936,677097.411,723994.041,750440.412,0.025,0.025,0.025,0.08,0.08,0.0765,9136781.826,8516654.912,8109161.214,9136781.826,8516654.912,8109161.214,1902719.928,1918527.768,1921528.936,11494571.84,11727618.41,12751162.75,2856812.88,2935132.752,3873105.562,12751162.75,ActLiabilities_GASB_2016,1921528.936,payroll_2016,8109161.214,MktAssets_net_2016,8878057.191,ActAssets_GASB_2016,3873105.562,UAAL_GASB_2016,49464,actives_tot_2016,45884,beneficiaries_tot_2016,680815,benefits_tot_2016,14837.74281,BeneficiaryBenefit_avg_2016,0.0765,InvestmentReturnAssumption_GASB_2016,0.025,InflationAssumption_GASB_2016,21684920,contrib_EE_regular_2016,38847.01876,14837.743,14837.743,0.011285242,3,3,5,closed,closed,closed,levpercent,levpercent,levpercent,30,29,28,5,AssetSmoothingPeriod_GASB_2016,closed,openclosedf_2016,levpercent,pctdollf_2016,28,UAALAmortPeriod_GASB_2016
