ppd_id,PlanName,StateAbbrev,planf,ActAssets_AVA_2014,ActAssets_AVA_2015,ActAssets_AVA_2016,ActAssets_GASB_2014,ActAssets_GASB_2015,ActAssets_GASB_2016,ActAssets_Smooth_2014,ActAssets_Smooth_2015,ActAssets_Smooth_2016,actives_tot_2014,actives_tot_2015,actives_tot_2016,ActiveSalaries_2014,ActiveSalaries_2015,ActiveSalaries_2016,ActLiabilities_GASB_2014,ActLiabilities_GASB_2015,ActLiabilities_GASB_2016,beneficiaries_tot_2014,beneficiaries_tot_2015,beneficiaries_tot_2016,BeneficiaryBenefit_avg_2014,BeneficiaryBenefit_avg_2015,BeneficiaryBenefit_avg_2016,benefits_tot_2014,benefits_tot_2015,benefits_tot_2016,CoveredPayroll_GASB67_2014,CoveredPayroll_GASB67_2015,CoveredPayroll_GASB67_2016,expense_TotBenefits_2014,expense_TotBenefits_2015,expense_TotBenefits_2016,MktAssets_net_2014,MktAssets_net_2015,MktAssets_net_2016,NetPosition_2014,NetPosition_2015,NetPosition_2016,payroll_2014,payroll_2015,payroll_2016,TotalPensionLiability_2014,TotalPensionLiability_2015,TotalPensionLiability_2016,UAAL_GASB_2014,UAAL_GASB_2015,UAAL_GASB_2016,al,al_source,payroll,payroll_source,assets.mv,assets.mv_source,assets.av,assets.av_source,uaal,uaal_source,actives,actives_source,beneficiaries,beneficiaries_source,benefits,benefits_source,avgbenefit.ppd,avgbenefit.ppd_source,avgsalary,avgbenefit,avgbenefit_best,AssetSmoothingPeriod_GASB_2014,AssetSmoothingPeriod_GASB_2015,AssetSmoothingPeriod_GASB_2016,openclosedf_2014,openclosedf_2015,openclosedf_2016,pctdollf_2014,pctdollf_2015,pctdollf_2016,UAALAmortPeriod_GASB_2014,UAALAmortPeriod_GASB_2015,UAALAmortPeriod_GASB_2016,assetperiod,assetperiod_source,openclosedf,openclosedf_source,pctdollf,pctdollf_source,amortperiod,amortperiod_source
11,Chicago Teachers,IL,Teachers,10045543,10344375,NA,10045542.575,10344375.122,10610746.831,10081520.019,10366088.281,10630976.553,30654,29706,29543,2149841.75,2155604.25,2071041,19503893.632,19951289.974,20246140.298,27722,28114,28298,45.79199981689453,46.946998596191406,48126,1269456.125,1319864.375,1361882.496,2233280.995,2273551.432,2281268.89,1273509.685,1307687.61,1351250.799,10815694.614,10689954.32,10093067.588,10815694.614,10689954.32,10093067.588,2233280.995,2273551.432,2281268.89,20316899.952,20713217.296,21124697.012,9458351.057,9606914.852,9635393.467,20246140.298,ActLiabilities_GASB_2016,2281268.89,payroll_2016,10093067.588,MktAssets_net_2016,10610746.831,ActAssets_GASB_2016,9635393.467,UAAL_GASB_2016,29543,actives_tot_2016,28298,beneficiaries_tot_2016,1361882.496,benefits_tot_2016,48126e3,BeneficiaryBenefit_avg_2016,77218.59289848695,48126.45755883808,48126.45755883808,4,4,4,open,closed,closed,levpercent,levpercent,levpercent,30,30,30,4,AssetSmoothingPeriod_GASB_2016,closed,openclosedf_2016,levpercent,pctdollf_2016,30,UAALAmortPeriod_GASB_2016
12,City of Austin ERS,TX,General-Local,2193881.25,NA,NA,2193881.221,2308087.14,2423300,2193881.221,2308087.14,2423269.015,9028,9063,9364,539158.6875,559829.5,599574.9375,3094055.712,3391796.116,3591400,5396,5679,5934,28.71299934387207,29.1362247467041,NA,154937.546875,NA,NA,518508.233,558248.3,NA,157563.807,165464.616,NA,2209799.679,2144804.122,NA,2209799.679,2144804.122,NA,539158.693,559829.504,599600,3094055.712,3391796.116,NA,900174.491,1083708.976,1168100,3591400,ActLiabilities_GASB_2016,599600,payroll_2016,2144804.122,MktAssets_net_2015,2423300,ActAssets_GASB_2016,1168100,UAAL_GASB_2016,9364,actives_tot_2016,5934,beneficiaries_tot_2016,154937.546875,benefits_tot_2014,29136.2247467041,BeneficiaryBenefit_avg_2015,64032.46475865015,26110.13597489046,26110.13597489046,5,5,5,open,open,NA,levpercent,levpercent,NA,24,33,NA,5,AssetSmoothingPeriod_GASB_2016,open,openclosedf_2015,levpercent,pctdollf_2015,33,UAALAmortPeriod_GASB_2015
13,Colorado Municipal,CO,General-Local,3629400.25,NA,NA,3629400,3777161,3879197,3629400.231,3777160.876,3879197.057,12084,12176,12736,540468,561518,608223,4610967,4780698,5213052,6466,6777,7065,36.096351623535156,36.68112564086914,37.439491271972656,233399,248588,264510,540468,561518,608223,232536,245379,259406,3751468,3660509,3773506,3751468,3660509,3773506,540468,561518,608223,4647777,4762090,5123847,981567,1003537,1333855,5213052,ActLiabilities_GASB_2016,608223,payroll_2016,3773506,MktAssets_net_2016,3879197,ActAssets_GASB_2016,1333855,UAAL_GASB_2016,12736,actives_tot_2016,7065,beneficiaries_tot_2016,264510,benefits_tot_2016,37439.491271972656,BeneficiaryBenefit_avg_2016,47756.20288944724,37439.490445859876,37439.490445859876,4,4,4,closed,closed,closed,levpercent,levpercent,levpercent,30,29,28,4,AssetSmoothingPeriod_GASB_2016,closed,openclosedf_2016,levpercent,pctdollf_2016,28,UAALAmortPeriod_GASB_2016
14,Colorado School,CO,Teachers,22143356,NA,NA,22143356,22871661,23263344,22143356.419,22871661.446,23263343.921,119618,120239,121945,4063236,4235290,4349320,36386532,37677153,41352968,58145,60109,62102,35.56935119628906,36.00093078613281,36.7796516418457,2068180,2163980,2284090,4063236,4235290,4349320,2036376,2138154,2234929,22920607,22152768,22581046,22920607,22152768,22581046,4063236,4235290,4349320,36473966,37447062,52354913,14243176,14805492,18089624,41352968,ActLiabilities_GASB_2016,4349320,payroll_2016,22581046,MktAssets_net_2016,23263344,ActAssets_GASB_2016,18089624,UAAL_GASB_2016,121945,actives_tot_2016,62102,beneficiaries_tot_2016,2284090,benefits_tot_2016,36779.6516418457,BeneficiaryBenefit_avg_2016,35666.2429783919,36779.65282921645,36779.65282921645,4,4,4,closed,closed,closed,levpercent,levpercent,levpercent,30,29,28,4,AssetSmoothingPeriod_GASB_2016,closed,openclosedf_2016,levpercent,pctdollf_2016,28,UAALAmortPeriod_GASB_2016
15,Colorado State,CO,General-State,13523488,NA,NA,13523488,13882820,14026332,13523487.577,13882819.694,14026331.996,55300,55291,55725,2564670,2641867,2710651,23408321,24085671,25669916,35937,36992,38140,38.14511489868164,38.80931091308594,39.80657958984375,1370821,1435634,1518223,2564670,2641867,2710651,1354602,1419950,1485934,14013947,13460536,13626180,14013947,13460536,13626180,2564670,2641867,2710651,23420461,23991569,31994311,9884833,10202851,11643584,25669916,ActLiabilities_GASB_2016,2710651,payroll_2016,13626180,MktAssets_net_2016,14026332,ActAssets_GASB_2016,11643584,UAAL_GASB_2016,55725,actives_tot_2016,38140,beneficiaries_tot_2016,1518223,benefits_tot_2016,39806.57958984375,BeneficiaryBenefit_avg_2016,48643.355764917,39806.58101730466,39806.58101730466,4,4,4,closed,closed,closed,levpercent,levpercent,levpercent,30,29,27,4,AssetSmoothingPeriod_GASB_2016,closed,openclosedf_2016,levpercent,pctdollf_2016,27,UAALAmortPeriod_GASB_2016
16,Connecticut SERS,CT,General-State,10584795,11375781,NA,10584795,11375781,11922966,10584795.257,11375780.63,11922965.86,49976,49997.5,50019,3487577,3604164.25,3720751.5,25505610,26255513,33616716,45803,46997,48191,34.39962387084961,35.33620071411133,36.22637176513672,1575606,1660695.5,1745785.125,3487577,3618361,3720751,1570558,1657585,1736279,10472810,10668655,10653792,10472567,10668380,10653792,3487577,3592204,3720751,26486933,27192467,33616716,14920815,14879732,21693750,33616716,ActLiabilities_GASB_2016,3720751,payroll_2016,10653792,MktAssets_net_2016,11922966,ActAssets_GASB_2016,21693750,UAAL_GASB_2016,50019,actives_tot_2016,48191,beneficiaries_tot_2016,1745785.125,benefits_tot_2016,36226.37176513672,BeneficiaryBenefit_avg_2016,74386.75303384714,36226.37266294537,36226.37266294537,5,5,5,closed,closed,closed,levpercent,levpercent,levpercent,17,16,25.1,5,AssetSmoothingPeriod_GASB_2016,closed,openclosedf_2016,levpercent,pctdollf_2016,25.1,UAALAmortPeriod_GASB_2016
17,Connecticut Teachers,CT,Teachers,15546516,NA,NA,15546500,16129400,16712300,15546516,16143461,16712316,51433,51155,50877,3831624,3890775,3949926,26349200,28094550,29839900,34310,35187.5,36065,49.43095779418945,50.13032913208008,50.79567337036133,1695976.125,1763961,1831946,3831624,4078367,NA,1737144,1823737,1738131,16207755,16120053,15594872,16220889,16120053,NA,3831600,3890750,3949900,26349209,27092095,NA,10802700,11965150,13127600,29839900,ActLiabilities_GASB_2016,3949900,payroll_2016,15594872,MktAssets_net_2016,16712300,ActAssets_GASB_2016,13127600,UAAL_GASB_2016,50877,actives_tot_2016,36065,beneficiaries_tot_2016,1831946,benefits_tot_2016,50795.67337036133,BeneficiaryBenefit_avg_2016,77636.25999960689,50795.6744766394,50795.6744766394,4,NA,4,closed,NA,closed,levpercent,NA,levpercent,20.4,NA,17.6,4,AssetSmoothingPeriod_GASB_2016,closed,openclosedf_2016,levpercent,pctdollf_2016,17.6,UAALAmortPeriod_GASB_2016
18,Contra Costa County,CA,General-Local,6572560.5,NA,NA,6557496.101,7136801.38,NA,6572560.432,7151936.096,NA,9159,9642,NA,697831.8125,746352.6875,NA,8027438.213000001,8448624.096,NA,8871,9068,NA,43.62822723388672,45.2957649230957,NA,NA,NA,NA,671486,709819,NA,387026,410742,NA,6908910,6976582,NA,6908910,6976582,NA,697831.837,746352.663,NA,8104611,8483709,NA,1469942.112,1311822.716,NA,8448624.096,ActLiabilities_GASB_2015,746352.663,payroll_2015,6976582,MktAssets_net_2015,7136801.38,ActAssets_GASB_2015,1311822.716,UAAL_GASB_2015,9642,actives_tot_2015,9068,beneficiaries_tot_2015,410742,expense_TotBenefits_2015,45295.7649230957,BeneficiaryBenefit_avg_2015,77406.41599253265,45295.76532862814,45295.76532862814,5,5,NA,fixed,NA,NA,levpercent,levpercent,NA,18,18,NA,5,AssetSmoothingPeriod_GASB_2015,fixed,openclosedf_2014,levpercent,pctdollf_2015,18,UAALAmortPeriod_GASB_2015
19,DC Police & Fire,DC,Safety,4288727,4607300,NA,4288727,4607300,4985051,4292774.319,4607232.513,4985051.594,5551,5537,5359,438415,446201,438114,3998537,4283093,4498513,2365,2609,3003,24.714588165283203,26.912227630615234,28.550783157348633,58450,70214,85738,426135,446201,438114,52784,65030,81316,4588129,4461998,4954631,4588129,4461998,4954631,438415,446201,438114,4000863,4383413,4675562,-290190,-324200,-486538,4498513,ActLiabilities_GASB_2016,438114,payroll_2016,4954631,MktAssets_net_2016,4985051,ActAssets_GASB_2016,-486538,UAAL_GASB_2016,5359,actives_tot_2016,3003,beneficiaries_tot_2016,85738,benefits_tot_2016,28550.783157348633,BeneficiaryBenefit_avg_2016,81752.9389811532,28550.78255078255,28550.78255078255,7,7,7,closed,closed,closed,levdollar,levdollar,levdollar,18,17,16,7,AssetSmoothingPeriod_GASB_2016,closed,openclosedf_2016,levdollar,pctdollf_2016,16,UAALAmortPeriod_GASB_2016
20,DC Teachers,DC,Teachers,1638583,1732017,NA,1638583,1732017,1845476,1640468.193,1732017.312,1845475.738,4499,4866,5141,378926,417090,438079,1849230,1953305,2029640,3601,3718,3882,16.29741668701172,16.917428970336914,17.720247268676758,58687,62899,68790,378926,417090,438079,59832,69652,75298,1745961,1670638,1821949,1745961,1670638,1821949,378926,417090,438079,1856034,1950811,2064138,210647,221288,184164,2029640,ActLiabilities_GASB_2016,438079,payroll_2016,1821949,MktAssets_net_2016,1845476,ActAssets_GASB_2016,184164,UAAL_GASB_2016,5141,actives_tot_2016,3882,beneficiaries_tot_2016,68790,benefits_tot_2016,17720.247268676758,BeneficiaryBenefit_avg_2016,85212.7990663295,17720.247295208654,17720.247295208654,7,7,7,closed,closed,closed,levdollar,levdollar,levpercent,18,17,16,7,AssetSmoothingPeriod_GASB_2016,closed,openclosedf_2016,levpercent,pctdollf_2016,16,UAALAmortPeriod_GASB_2016
21,Delaware State Employees,DE,General-State,8067032,8289879.5,NA,8067032,8289879.3,8460614.4,8067032,8289879.3,8460614.4,35825,35998,36198,1902292.75,1911646.5,1900763.625,8740071,9051033.5,9504791.5,24811,25675,26826,20.42850685119629,20.972925186157227,21.31229019165039,506851.6875,538479.875,571723.5,1840521,1864991,1907169,506194,534462,564415,8389765,8409336,7977541,8389765,8409336,7977541,1902293,1911643.5,1900763.6,8757980,9074604,9484483,673039,761154.2,1044177.1,9504791.5,ActLiabilities_GASB_2016,1900763.6,payroll_2016,7977541,MktAssets_net_2016,8460614.4,ActAssets_GASB_2016,1044177.1,UAAL_GASB_2016,36198,actives_tot_2016,26826,beneficiaries_tot_2016,571723.5,benefits_tot_2016,21312.29019165039,BeneficiaryBenefit_avg_2016,52510.18288303221,21312.29031536569,21312.29031536569,5,5,NA,open,open,open,levpercent,levpercent,levpercent,20,20,20,5,AssetSmoothingPeriod_GASB_2015,open,openclosedf_2016,levpercent,pctdollf_2016,20,UAALAmortPeriod_GASB_2016
22,Denver Employees,CO,General-Local,NA,NA,NA,2132020,2168750,NA,2132024.635,2168754.097,NA,8489,8636,8636,NA,NA,586819.1875,2893670,3003590,NA,8815,9074,9074,19.41899871826172,20.038349151611328,19.760225296020508,NA,NA,179304.28125,540229.189,568562.5,NA,171178.475,181827.975,NA,2055272.548,1945673.317,NA,2055272.548,1945673.317,NA,568560,586820,NA,2931127.365,3124965.445,NA,761640,834840,NA,3003590,ActLiabilities_GASB_2015,586820,payroll_2015,1945673.317,MktAssets_net_2015,2168750,ActAssets_GASB_2015,834840,UAAL_GASB_2015,8636,actives_tot_2016,9074,beneficiaries_tot_2016,179304.28125,benefits_tot_2016,19760.225296020508,BeneficiaryBenefit_avg_2016,67950.4400185271,19760.22495591801,19760.22495591801,1,NA,NA,closed,closed,NA,levpercent,levpercent,NA,30,30,NA,1,AssetSmoothingPeriod_GASB_2014,closed,openclosedf_2015,levpercent,pctdollf_2015,30,UAALAmortPeriod_GASB_2015
23,Denver Schools,CO,Teachers,3151456,NA,NA,3151455.921,3207327,3220935,3151455.921,3207326.956,3220935.045,15414,15929,15950,584319,621115,642177,3816092.735,3905240,4246430,6698,6812,6941,37.37070846557617,37.84967803955078,38.76081466674805,250309,257832,269038.8125,584319,621115,642177,247371,255426,263550,3263791,3107329,3125977,3263791,3107329,3125977,584319.269,621115,642177,3888361,3920864,4221449,664636.814,697913,1025495,4246430,ActLiabilities_GASB_2016,642177,payroll_2016,3125977,MktAssets_net_2016,3220935,ActAssets_GASB_2016,1025495,UAAL_GASB_2016,15950,actives_tot_2016,6941,beneficiaries_tot_2016,269038.8125,benefits_tot_2016,38760.81466674805,BeneficiaryBenefit_avg_2016,40261.880877742944,38760.81436392451,38760.81436392451,4,4,4,closed,closed,closed,levpercent,levpercent,levpercent,30,29,28,4,AssetSmoothingPeriod_GASB_2016,closed,openclosedf_2016,levpercent,pctdollf_2016,28,UAALAmortPeriod_GASB_2016
